Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2019,삼성,2,박해민,19  CF,3.92,1.17,2.74,144,581,569,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,-0.030,78.8,/player/?m=playerinfo&p_no=11190,11190
2019,삼성,3,구자욱,19  RF,3.25,2.65,0.60,122,526,525,475,66,127,27,6,15,211,71,11,3,38,7,2,88,5,0,6,0.267,0.327,0.444,0.771,0.000,104.1,/player/?m=playerinfo&p_no=10892,10892
2019,삼성,4,김상수,19  2B,2.79,2.90,-0.11,129,543,537,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,0.271,0.358,0.355,0.713,0.000,103.4,/player/?m=playerinfo&p_no=10320,10320
2019,삼성,5,이학주,19  SS,2.59,1.32,1.28,118,436,431,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,-0.020,86.6,/player/?m=playerinfo&p_no=14114,14114
2019,삼성,6,강민호,19  C,2.32,0.96,1.36,112,393,390,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.720,-0.022,84.8,/player/?m=playerinfo&p_no=10232,10232
2019,삼성,7,김헌곤,19  LF,1.68,2.09,-0.42,114,467,462,411,57,122,20,1,5,159,46,10,8,37,8,1,41,18,5,6,0.297,0.361,0.387,0.748,0.000,103.9,/player/?m=playerinfo&p_no=10640,10640
2019,삼성,8,이원석,19  3B,1.19,2.08,-0.88,111,455,453,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,0.246,0.327,0.441,0.768,-0.003,101.5,/player/?m=playerinfo&p_no=10180,10180
2019,KIA,1,최형우,19  DH,4.81,5.63,-0.81,136,555,550,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,0.300,0.413,0.485,0.898,0.054,149.1,/player/?m=playerinfo&p_no=10344,10344
2019,KIA,2,김선빈,19  SS,3.57,2.70,0.87,121,447,442,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.360,0.371,0.731,0.015,116.2,/player/?m=playerinfo&p_no=10008,10008
2019,KIA,3,이창진,19  CF,2.16,2.30,-0.14,133,470,466,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,0.270,0.363,0.383,0.746,0.004,106.9,/player/?m=playerinfo&p_no=11233,11233
2019,KIA,4,안치홍,19  2B,2.01,2.76,-0.75,105,408,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,0.315,0.380,0.412,0.792,0.021,121.3,/player/?m=playerinfo&p_no=10014,10014
2019,KIA,5,터커,19  RF,1.95,3.54,-1.59,95,399,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,0.311,0.381,0.479,0.860,0.039,137.2,/player/?m=playerinfo&p_no=14224,14224
